CTKM_14,Lưu CTKM khi giờ kết thúc trước giờ bắt đầu,"Đã đăng nhập với vai trò Admin
Ở màn hình Thêm mới CTKM, checkbox ""Không cài đặt khung giờ"" inactive.","1. Vào Menu > Khuyến mãi > Danh sách chương trình
2. Nhấn ""Thêm mới chương trình"". 
3. Nhập tên CTKM chưa tồn tại trong hệ thống
4. Nhập ngày bắt đầu: 20/06/2026.
5. Tích checkbox “Không cài đặt ngày kết thúc”
6. Nhập giờ bắt đầu: 15:00
7. Nhập giờ kết thúc trước giờ bắt đầu: 6:00
8. Chọn phân loại khuyến mãi
9. Khai báo phân loại hợp lệ
10. Chọn ít nhất một phạm vi áp dụng
11. Nhấn ""Lưu"" ",Cao,Thêm mới CTKM,"- Hệ thống hiển thị message lỗi tại 2 trường Giờ bắt đầu và Giờ kết thúc
- Hiển thị toast message Vui lòng kiểm tra lại thông tin
- Không lưu được CTKM.",Hệ thống cho phép lưu thành công,Fail,Đức Anh,
CTKM_15,Lưu CTKM khi không chọn phạm vi áp dụng,Đã đăng nhập với vai trò Admin,"1. Vào Menu > Khuyến mãi > Danh sách chương trình
2. Nhấn ""Thêm mới chương trình""
3. Nhập tên chương trình chưa tồn tại
4. Nhập ngày bắt đầu hợp lệ: Hôm nay
5. Tích checkbox ""Không cài đặt ngày kết thúc""
6. Tích checkbox ""Không cài đặt khung giờ""
7. Chọn phân loại khuyến mãi
8. Khai báo phân loại hợp lệ
9. Không chọn phạm vi áp dụng
10. Nhấn ""Lưu""",,Thêm mới CTKM,"- Hiển thị toast message Vui lòng chọn ít nhất một phạm vi áp dụng
- Không lưu được CTKM.",,Pass,,
CTKM_16,Kiểm tra quy tắc ngăn trùng lặp dòng điều kiện,Đã đăng nhập với vai trò Admin,"1. Vào Menu > Khuyến mãi > Danh sách chương trình
2. Nhấn ""Thêm mới chương trình""
3. Khai báo các thông tin bắt buộc hợp lệ: Tên chương trình, Ngày bắt đầu, Ngày kết thúc, Giờ bắt đầu, Giờ kết thúc
4. Chọn ít nhất 1 phạm vi áp dụng
5. Chọn phân loại khuyến mại: Theo sản phẩm
6. Chọn 1 trong 3 hình thức khuyến mại: Giảm giá bán / Tặng kèm sản phẩm khác / Được mua sản phẩm bất kỳ giá thấp
7. Cấu hình Điều kiện 1: Mua từ 2 sản phẩm A.
8. Click nút ""Thêm điều kiện khuyến mãi"" để tạo Điều kiện 2.
9. Điều kiện 2 cấu hình giống hệt: Mua từ 2 sản phẩm A.
10. Nhấn ""Lưu"".",,,"Hệ thống báo lỗi đỏ: ""Không được trùng sản phẩm/danh mục và số lượng trong điều kiện"" tại cả hai dòng và không cho phép lưu.",,Pass,,
CTKM_17,Thêm dòng điều kiện bậc thang và lưu thành công,Đã đăng nhập với vai trò Admin,"1. Vào Menu > Khuyến mãi > Danh sách chương trình
2. Nhấn ""Thêm mới chương trình""
3. Khai báo các thông tin bắt buộc hợp lệ: Tên chương trình, Ngày bắt đầu, Ngày kết thúc, Giờ bắt đầu, Giờ kết thúc
4. Chọn ít nhất 1 phạm vi áp dụng
5. Chọn phân loại khuyến mại: Theo sản phẩm
6. Chọn hình thức khuyến mại: Giảm giá bán
7. Dòng điều kiện 1: Mua từ 5 sản phẩm A -> Giảm 10,000đ.
8. Click ""Thêm điều kiện khuyến mãi"" tạo dòng 2: Mua từ 10 sản phẩm A -> Giảm 25,000đ.
9. Nhấn ""Lưu"".",,,"Cập nhật thành công. POS tính đúng giảm giá 10k nếu mua từ 5-9 SP, giảm giá 25k nếu mua từ 10 SP trở lên.",,Pass,,
CTKM_18,Thêm nhiều điều kiện khuyến mãi — cùng nhóm (Sản phẩm + Combo),Đã đăng nhập với vai trò Admin,"1. Vào Menu > Khuyến mãi > Danh sách chương trình
2. Nhấn ""Thêm mới chương trình""
3. Khai báo các thông tin bắt buộc hợp lệ: Tên chương trình, Ngày bắt đầu, Ngày kết thúc, Giờ bắt đầu, Giờ kết thúc
4. Chọn ít nhất 1 phạm vi áp dụng
5. Chọn phân loại khuyến mại: Theo sản phẩm
6. Chọn 1 trong 3 hình thức khuyến mại: Giảm giá bán / Tặng kèm sản phẩm khác / Được mua sản phẩm bất kỳ giá thấp
7. Khai báo đầy đủ 1 điều kiện loại ""Sản phẩm""
8. Nhấn ""+ Thêm điều kiện khuyến mãi"".
9. Thêm điều kiện thứ 2 loại ""Combo sản phẩm"" và khai báo
10. Nhấn ""Lưu"".",Trung bình,,- Cho phép thêm thành công vì cùng nhóm 1 (Sản phẩm + Combo).,,Pass,,
CTKM_19,Exception: Khai báo điều kiện nhóm khác (Nhóm 1 + Nhóm 2),Đã đăng nhập với vai trò Admin,"1. Vào Menu > Khuyến mãi > Danh sách chương trình
2. Nhấn ""Thêm mới chương trình""
3. Khai báo các thông tin bắt buộc hợp lệ: Tên chương trình, Ngày bắt đầu, Ngày kết thúc, Giờ bắt đầu, Giờ kết thúc
4. Chọn ít nhất 1 phạm vi áp dụng
5. Chọn phân loại khuyến mại: Theo sản phẩm
6. Chọn 1 trong 3 hình thức khuyến mại: Giảm giá bán / Tặng kèm sản phẩm khác / Được mua sản phẩm bất kỳ giá thấp
7. Khai báo dòng điều kiện 1 loại ""Sản phẩm""
8. Khai báo dòng điều kiện 2 loại ""Combo sản phẩm""
9. Tại dòng điều kiện 1, chuyển loại từ ""Sản phẩm"" sang ""Sản phẩm trong danh mục"".
10. Quan sát dòng điều kiện 2.",,,"- Hệ thống không cho phép tồn tại đồng thời điều kiện Nhóm 1 và Nhóm 2.
- Khi thay đổi sang nhóm khác: hệ thống tự động đồng bộ giá trị ""Mua từ"" của các điều kiện trước theo giá trị điều kiện được chỉnh sửa gần nhất.
- Hiển thị thông báo xác nhận thay đổi nhóm.",,Pass,,
,Kiểm tra chức năng Tạo CTKM - Phân loại theo sản phẩm — Giảm giá bán,,,,,,,,,
,Sản phẩm/Combo,,,,,,,,,
CTKM_20,Khai báo giảm giá bán theo sản phẩm cụ thể (giảm VND),Đã đăng nhập với vai trò Admin,"1. Vào Menu > Khuyến mãi > Danh sách chương trình
2. Nhấn ""Thêm mới chương trình""
3. Khai báo các thông tin bắt buộc hợp lệ: Tên chương trình, Ngày bắt đầu, Ngày kết thúc, Giờ bắt đầu, Giờ kết thúc
4. Chọn ít nhất 1 phạm vi áp dụng
5. Chọn phân loại khuyến mại: Theo sản phẩm
6. Chọn hình thức khuyến mại: Giảm giá bán 
7. Tại Điều kiện 1: Mua từ 2 - chọn loại ""Sản phẩm"" - chọn sản phẩm A.
8.Ô ""Được giảm giá mỗi SP"" chọn VND và nhập 10,000.
9. Nhấn ""Lưu""",Cao,Phân loại KM – Giảm giá bán,"1. Hiển thị toast messge ""Thêm mới chương trình thành công""
2. Ghi nhận 1 bản ghi ngoài danh sách với cột phân loại là Sản phẩm
3. Khách mua ≥ 2 sản phẩm A sẽ được giảm giá 10,000đ/sản phẩm A",,Pass,,
CTKM_21,Khai báo giảm giá bán theo sản phẩm cụ thể (giảm %),Đã đăng nhập với vai trò Admin,"1. Vào Menu > Khuyến mãi > Danh sách chương trình
2. Nhấn ""Thêm mới chương trình""
3. Khai báo các thông tin bắt buộc hợp lệ: Tên chương trình, Ngày bắt đầu, Ngày kết thúc, Giờ bắt đầu, Giờ kết thúc
4. Chọn ít nhất 1 phạm vi áp dụng
5. Chọn phân loại khuyến mại: Theo sản phẩm
6. Chọn hình thức khuyến mại: Giảm giá bán 
7.  Điều kiện 1: Mua từ 3 - chọn loại ""Sản phẩm"" - chọn sản phẩm A.
8. Ô ""Được giảm giá mỗi SP"" chọn % và nhập 15
9. Nhấn ""Lưu"".",Cao,Phân loại KM – Giảm giá bán,"1. Hiển thị toast messge ""Thêm mới chương trình thành công""
2. Ghi nhận 1 bản ghi ngoài danh sách với cột phân loại là Sản phẩm
3. Khách mua ≥ 3 sản phẩm A sẽ được giảm giá 15% trên từng sản phẩm A.",,Pass,,
