,Kiểm tra chức năng Dừng / Tiếp tục / Bắt đầu CTKM — Chuyển trạng thái,,,,,,,,,
CTKM_54,Dừng CTKM đang diễn ra thành công,"CTKM ở trạng thái ""Đang diễn ra"".","1. Nhấn nút Dừng trên row CTKM đang diễn ra.
2. Hệ thống hiển thị popup xác nhận.
3. Nhấn ""Xác nhận"".",Cao,Màn hình Quản lý CTKM,"- Popup xác nhận hiển thị đúng nội dung.
- Sau xác nhận: trạng thái chuyển ""Đang diễn ra"" → ""Đã kết thúc"".
- Trường Ngày kết thúc được để trống (nếu trước đó có cài).
- Thống kê số liệu cập nhật chính xác.",,,,
CTKM_55,"Nút Dừng chỉ hiển thị với CTKM ""Đang diễn ra""",Hệ thống có CTKM ở các trạng thái khác nhau.,"1. Quan sát danh sách CTKM.
2. Kiểm tra nút Dừng ở các CTKM trạng thái: Lưu nháp, Chưa diễn ra, Đã kết thúc.",Cao,Màn hình Quản lý CTKM,"- Nút Dừng KHÔNG hiển thị với các CTKM trạng thái Lưu nháp / Chưa diễn ra / Đã kết thúc.
- Chỉ hiển thị với CTKM ""Đang diễn ra"".",,,,
CTKM_56,Dừng CTKM — nhấn Hủy ở popup → trạng thái không đổi,"CTKM ở trạng thái ""Đang diễn ra"".","1. Nhấn nút Dừng.
2. Popup xác nhận xuất hiện.
3. Nhấn ""Hủy"" (không xác nhận).",Trung bình,Màn hình Quản lý CTKM,"- Popup đóng lại.
- Trạng thái CTKM vẫn là ""Đang diễn ra"", không thay đổi.",,,,
CTKM_57,Tiếp tục CTKM đã kết thúc — không nhập ngày kết thúc mới,"CTKM ở trạng thái ""Đã kết thúc"".","1. Nhấn nút Tiếp tục trên row CTKM đã kết thúc.
2. Popup xuất hiện, bỏ trống ngày kết thúc.
3. Nhấn ""Xác nhận"".",Cao,Màn hình Quản lý CTKM,"- Trạng thái chuyển ""Đã kết thúc"" → ""Đang diễn ra"".
- Ngày kết thúc để trống (CTKM chạy vô thời hạn đến khi dừng thủ công).",,,,
CTKM_58,Tiếp tục CTKM đã kết thúc — nhập ngày kết thúc mới,"CTKM ở trạng thái ""Đã kết thúc"".","1. Nhấn nút Tiếp tục.
2. Popup xuất hiện, nhập ngày kết thúc mới: 31/12/2026.
3. Nhấn ""Xác nhận"".",Cao,Màn hình Quản lý CTKM,"- Trạng thái chuyển → ""Đang diễn ra"".
- Ngày kết thúc cập nhật thành 31/12/2026.",,,,
CTKM_59,"Nút Tiếp tục chỉ hiển thị với CTKM ""Đã kết thúc""",Hệ thống có CTKM ở các trạng thái khác nhau.,"1. Quan sát danh sách CTKM.
2. Kiểm tra nút Tiếp tục ở các CTKM trạng thái: Lưu nháp, Chưa diễn ra, Đang diễn ra.",Cao,Màn hình Quản lý CTKM,"- Nút Tiếp tục KHÔNG hiển thị với trạng thái Lưu nháp / Chưa diễn ra / Đang diễn ra.
- Chỉ hiển thị với CTKM ""Đã kết thúc"".",,,,
CTKM_60,Bắt đầu CTKM sắp diễn ra thủ công,"CTKM ở trạng thái ""Chưa diễn ra"" (Sắp diễn ra).","1. Nhấn nút Bắt đầu trên row CTKM.
2. Popup xác nhận xuất hiện.
3. Nhấn ""Xác nhận"".",Cao,Màn hình Quản lý CTKM,"- Popup xác nhận hiển thị đúng nội dung.
- Sau xác nhận: trạng thái chuyển ""Chưa diễn ra"" → ""Đang diễn ra"".
- Ngày kết thúc cập nhật nếu có khai báo.",,,,
CTKM_61,Chuyển trạng thái tự động khi đến ngày bắt đầu,"CTKM ở trạng thái ""Chưa diễn ra"", ngày bắt đầu = ngày hôm nay.","1. Tạo CTKM với ngày bắt đầu = ngày hôm nay.
2. Chờ đến thời điểm ngày bắt đầu.
3. Kiểm tra trạng thái CTKM.",Cao,Hệ thống / Scheduler,"- Hệ thống tự động chuyển trạng thái ""Chưa diễn ra"" → ""Đang diễn ra"" khi đến ngày bắt đầu.
- Không cần thao tác thủ công.",,,,
CTKM_62,Chuyển trạng thái tự động khi đến ngày kết thúc,"CTKM đang diễn ra, ngày kết thúc = ngày hôm nay.","1. Tạo CTKM với ngày kết thúc = ngày hôm nay.
2. Chờ qua thời điểm kết thúc.
3. Kiểm tra trạng thái.",Cao,Hệ thống / Scheduler,"- Hệ thống tự động chuyển trạng thái ""Đang diễn ra"" → ""Đã kết thúc"" khi hết ngày kết thúc.
- Không cần thao tác thủ công.",,,,
,Kiểm tra chức năng Quản lý Danh sách điều kiện,,,,,,,,,
CTKM_63,Thêm điều kiện — điều kiện giá trị tối thiểu tổng đơn hàng,Đang ở màn hình Danh sách điều kiện.,"1. Nhấn ""Thêm điều kiện"".
2. Chọn ""Điều kiện giá trị đơn hàng"": ""Giá trị tối thiểu của tổng đơn hàng"".
3. Điền giá trị: 100.000.
4. Chọn ""Điều kiện SP ràng buộc"": ""Không yêu cầu"".
5. Nhấn ""Xác nhận"".",Cao,Danh sách điều kiện,"- Điều kiện được thêm thành công.
- Hiển thị trong danh sách: ""Đơn hàng tối thiểu 100.000đ"".",,,,
CTKM_64,Thêm điều kiện — yêu cầu SP ràng buộc cụ thể với số lượng,Đang ở popup Thêm mới điều kiện.,"1. Chọn ""Điều kiện giá trị"": ""Không yêu cầu"".
2. Chọn ""Điều kiện SP ràng buộc"": ""Cần có các sản phẩm với số lượng được cài đặt"".
3. Thêm SP A SL=2, dịch vụ B SL=3.
4. Nhấn ""Xác nhận"".",Cao,Danh sách điều kiện,"- Điều kiện thêm thành công.
- Hiển thị: cần có SP A×2, dịch vụ B×3 trong đơn.",,,,
CTKM_65,Thêm điều kiện — kết hợp giá trị tổng đơn VÀ SP ràng buộc,Đang ở popup Thêm mới điều kiện.,"1. Chọn ""Giá trị tối thiểu của tổng đơn hàng"" = 100.000.
2. Chọn ""Cần có SP ràng buộc"", thêm SP A×2, dịch vụ B×3.
3. Nhấn ""Xác nhận"".",Cao,Danh sách điều kiện,"- Điều kiện thêm thành công với cả 2 điều kiện kết hợp:
  + Tổng đơn ≥ 100.000đ
  + Có SP A×2 và dịch vụ B×3 trong đơn.",,,,
CTKM_66,Thêm điều kiện — giá trị tối thiểu các SP được cài đặt,Đang ở popup Thêm mới điều kiện.,"1. Chọn ""Giá trị tối thiểu của tổng số tiền các SP được cài đặt"".
2. Điền giá trị: 100.000.
3. Thêm SP A và dịch vụ B.
4. Nhấn ""Xác nhận"".",Trung bình,Danh sách điều kiện,"- Điều kiện thêm thành công.
- Logic: đơn hàng đạt KM khi tổng tiền riêng SP A + dịch vụ B ≥ 100.000đ (chỉ cần 1 trong 2 đạt đủ).",,,,
CTKM_67,Tìm kiếm điều kiện theo tên,Đã có nhiều điều kiện trong danh sách.,"1. Nhập tên điều kiện vào ô tìm kiếm.
2. Quan sát kết quả.",Thấp,Danh sách điều kiện,"- Hiển thị đúng các điều kiện khớp tên tìm kiếm.
- Không phân biệt hoa/thường.",,,,
CTKM_68,Xóa điều kiện — điều kiện chưa được gán vào CTKM nào,"Điều kiện ""DC001"" chưa gán vào CTKM.","1. Nhấn nút Xóa tại điều kiện ""DC001"".
2. Xác nhận xóa.",Trung bình,Danh sách điều kiện,"- Điều kiện bị xóa khỏi danh sách.
- Không còn xuất hiện sau khi tìm kiếm.",,,,
CTKM_69,Exception: Xóa điều kiện đang được gán vào CTKM,"Điều kiện ""DC002"" đang được gán vào CTKM ""Khuyến mãi hè"".","1. Nhấn nút Xóa tại điều kiện ""DC002"".
2. Quan sát phản hồi.",Cao,Danh sách điều kiện,"- Hệ thống hiển thị thông báo lỗi: không thể xóa điều kiện đang được sử dụng.
- Điều kiện không bị xóa.",,,,
,Kiểm tra chức năng Quản lý Danh sách đối tượng,,,,,,,,,
CTKM_70,Thêm nhóm đối tượng — Khách mới,Đang ở màn hình Danh sách nhóm đối tượng.,"1. Nhấn ""Thêm nhóm đối tượng"".
2. Nhập tên nhóm: ""Khách hàng mới tháng 6"".
3. Chọn loại: ""Khách mới"".
4. Nhấn ""Xác nhận"".",Cao,Danh sách đối tượng,"- Nhóm đối tượng được thêm thành công.
- Áp dụng cho khách được thêm mới trong ngày và chưa phát sinh đơn hàng.",,,,
CTKM_71,Thêm nhóm đối tượng — Khách hàng cũ với điều kiện nhân khẩu và sinh nhật,Đang ở popup Thêm nhóm đối tượng.,"1. Chọn loại ""Khách hàng cũ"".
2. Cấu hình điều kiện nhân khẩu: Độ tuổi 18–35, Giới tính Nữ.
3. Cấu hình điều kiện sinh nhật: ""Trong tháng"".
4. Nhập tên nhóm.
5. Nhấn ""Xác nhận"".",Cao,Danh sách đối tượng,"- Nhóm được thêm thành công với các điều kiện đã cấu hình.
- Hiển thị đúng thông tin điều kiện trong danh sách.",,,,
CTKM_72,Thêm nhóm đối tượng — Khách hàng tùy chỉnh (chọn KH cụ thể),Đã có dữ liệu khách hàng trong hệ thống.,"1. Chọn loại ""Khách hàng tùy chỉnh"".
2. Tìm kiếm và chọn các khách hàng cụ thể.
3. Nhập tên nhóm.
4. Nhấn ""Xác nhận"".",Trung bình,Danh sách đối tượng,"- Nhóm được tạo với danh sách KH được chọn.
- CTKM chỉ áp dụng cho đúng các KH trong danh sách.",,,,
CTKM_73,Thêm nhóm đối tượng — Nhóm KH với điều kiện tổng bán và số lần mua,"Đang ở popup Thêm nhóm đối tượng, chọn loại Nhóm khách hàng.","1. Chọn loại ""Nhóm khách hàng"".
2. Thêm điều kiện: Tổng bán ≥ 5.000.000đ.
3. Thêm điều kiện: Số lần mua ≥ 10.
4. Chọn ""Thêm KH theo điều kiện"".
5. Tích checkbox ""Hệ thống thực hiện tự động"".
6. Nhấn ""Xác nhận"".",Trung bình,Danh sách đối tượng,"- Nhóm được tạo thành công.
- Hệ thống tự động thêm/loại KH khỏi nhóm khi điều kiện thay đổi.",,,,
CTKM_74,Tìm kiếm nhóm đối tượng theo tên,Danh sách đối tượng có nhiều nhóm.,"1. Nhập tên nhóm vào ô tìm kiếm.
2. Quan sát kết quả.",Thấp,Danh sách đối tượng,"- Hiển thị đúng các nhóm khớp tên.
- Không phân biệt hoa/thường.",,,,
CTKM_75,Xóa nhóm đối tượng chưa gán vào CTKM,"Nhóm ""DT001"" chưa gán vào CTKM.","1. Nhấn nút Xóa tại nhóm ""DT001"".
2. Xác nhận xóa.",Trung bình,Danh sách đối tượng,- Nhóm bị xóa thành công khỏi danh sách.,,,,
CTKM_76,Exception: Xóa nhóm đối tượng đang được gán vào CTKM,"Nhóm ""DT002"" đang được gán vào CTKM ""Khuyến mãi hè"".","1. Nhấn nút Xóa tại nhóm ""DT002"".
2. Quan sát phản hồi.",Cao,Danh sách đối tượng,"- Hệ thống hiển thị thông báo lỗi: không thể xóa nhóm đang được sử dụng.
- Nhóm không bị xóa.",,,,
